fecha,entidad,tipo_entidad,componente,valor
2015-01-01,JMMB Bank,BM,Patrimonio Técnico,2657.91
2015-01-01,Banco Vimenca,BM,Índice de Solvencia,0.12
2015-01-01,Banco Vimenca,BM,Capital Primario (Tier 1),0.0919
2015-01-01,Banco Vimenca,BM,Capital Secundario (Tier 2),0.0267
2015-01-01,Banco Vimenca,BM,Activos Ponderados por Riesgo,11872.0
2015-01-01,Banco Vimenca,BM,Patrimonio Técnico,1771.94
2015-01-01,Banco del Progreso,BM,Índice de Solvencia,0.12
2015-01-01,Banco del Progreso,BM,Capital Primario (Tier 1),0.0915
2015-01-01,Banco del Progreso,BM,Capital Secundario (Tier 2),0.0246
2015-01-01,Banco del Progreso,BM,Activos Ponderados por Riesgo,11872.0
2015-01-01,Banco del Progreso,BM,Patrimonio Técnico,1771.94
2015-01-01,Caribe Express Banco,BM,Índice de Solvencia,0.12
2015-01-01,Caribe Express Banco,BM,Capital Primario (Tier 1),0.0958
2015-01-01,Caribe Express Banco,BM,Capital Secundario (Tier 2),0.0257
2015-01-01,Caribe Express Banco,BM,Activos Ponderados por Riesgo,11872.0
2015-01-01,Caribe Express Banco,BM,Patrimonio Técnico,1771.94
2015-01-01,Asociación Popular de Ahorros y Préstamos,CA,Índice de Solvencia,0.12
2015-01-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Primario (Tier 1),0.0952
2015-01-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Secundario (Tier 2),0.0232
2015-01-01,Asociación Popular de Ahorros y Préstamos,CA,Activos Ponderados por Riesgo,28492.81
2015-01-01,Asociación Popular de Ahorros y Préstamos,CA,Patrimonio Técnico,4252.66
2015-01-01,Asociación Cibao,CA,Índice de Solvencia,0.12
2015-01-01,Asociación Cibao,CA,Capital Primario (Tier 1),0.0956
2015-01-01,Asociación Cibao,CA,Capital Secundario (Tier 2),0.0242
2015-01-01,Asociación Cibao,CA,Activos Ponderados por Riesgo,17808.0
2015-01-01,Asociación Cibao,CA,Patrimonio Técnico,2657.91
2015-01-01,La Nacional,CA,Índice de Solvencia,0.12
2015-01-01,La Nacional,CA,Capital Primario (Tier 1),0.0952
2015-01-01,La Nacional,CA,Capital Secundario (Tier 2),0.0273
2015-01-01,La Nacional,CA,Activos Ponderados por Riesgo,10684.8
2015-01-01,La Nacional,CA,Patrimonio Técnico,1594.75
2015-01-01,Romana,CA,Índice de Solvencia,0.12
2015-01-01,Romana,CA,Capital Primario (Tier 1),0.099
2015-01-01,Romana,CA,Capital Secundario (Tier 2),0.026
2015-01-01,Romana,CA,Activos Ponderados por Riesgo,7123.2
2015-01-01,Romana,CA,Patrimonio Técnico,1063.16
2015-01-01,Mocana,CA,Índice de Solvencia,0.12
2015-01-01,Mocana,CA,Capital Primario (Tier 1),0.0957
2015-01-01,Mocana,CA,Capital Secundario (Tier 2),0.0246
2015-01-01,Mocana,CA,Activos Ponderados por Riesgo,7123.2
2015-01-01,Mocana,CA,Patrimonio Técnico,1063.16
2015-01-01,ADOPEM,BA,Índice de Solvencia,0.12
2015-01-01,ADOPEM,BA,Capital Primario (Tier 1),0.0939
2015-01-01,ADOPEM,BA,Capital Secundario (Tier 2),0.0227
2015-01-01,ADOPEM,BA,Activos Ponderados por Riesgo,10388.0
2015-01-01,ADOPEM,BA,Patrimonio Técnico,1550.45
2015-01-01,Bancamérica,BA,Índice de Solvencia,0.12
2015-01-01,Bancamérica,BA,Capital Primario (Tier 1),0.0964
2015-01-01,Bancamérica,BA,Capital Secundario (Tier 2),0.0246
2015-01-01,Bancamérica,BA,Activos Ponderados por Riesgo,8904.0
2015-01-01,Bancamérica,BA,Patrimonio Técnico,1328.96
2015-01-01,Banfond,BA,Índice de Solvencia,0.12
2015-01-01,Banfond,BA,Capital Primario (Tier 1),0.0977
2015-01-01,Banfond,BA,Capital Secundario (Tier 2),0.0219
2015-01-01,Banfond,BA,Activos Ponderados por Riesgo,5936.0
2015-01-01,Banfond,BA,Patrimonio Técnico,885.97
2015-01-01,Motor Crédito,BA,Índice de Solvencia,0.12
2015-01-01,Motor Crédito,BA,Capital Primario (Tier 1),0.0957
2015-01-01,Motor Crédito,BA,Capital Secundario (Tier 2),0.0231
2015-01-01,Motor Crédito,BA,Activos Ponderados por Riesgo,4452.0
2015-01-01,Motor Crédito,BA,Patrimonio Técnico,664.48
2015-02-01,Banco Popular Dominicano,BM,Índice de Solvencia,0.12
2015-02-01,Banco Popular Dominicano,BM,Capital Primario (Tier 1),0.0959
2015-02-01,Banco Popular Dominicano,BM,Capital Secundario (Tier 2),0.0261
2015-02-01,Banco Popular Dominicano,BM,Activos Ponderados por Riesgo,138537.77
2015-02-01,Banco Popular Dominicano,BM,Patrimonio Técnico,20677.28
2015-02-01,Banco de Reservas,BM,Índice de Solvencia,0.12
2015-02-01,Banco de Reservas,BM,Capital Primario (Tier 1),0.1004
2015-02-01,Banco de Reservas,BM,Capital Secundario (Tier 2),0.025
2015-02-01,Banco de Reservas,BM,Activos Ponderados por Riesgo,126491.01
2015-02-01,Banco de Reservas,BM,Patrimonio Técnico,18879.25
2015-02-01,BHD León,BM,Índice de Solvencia,0.12
2015-02-01,BHD León,BM,Capital Primario (Tier 1),0.0955
2015-02-01,BHD León,BM,Capital Secundario (Tier 2),0.0246
2015-02-01,BHD León,BM,Activos Ponderados por Riesgo,90350.72
2015-02-01,BHD León,BM,Patrimonio Técnico,13485.18
2015-02-01,Scotiabank RD,BM,Índice de Solvencia,0.12
2015-02-01,Scotiabank RD,BM,Capital Primario (Tier 1),0.096
2015-02-01,Scotiabank RD,BM,Capital Secundario (Tier 2),0.0224
2015-02-01,Scotiabank RD,BM,Activos Ponderados por Riesgo,48187.05
2015-02-01,Scotiabank RD,BM,Patrimonio Técnico,7192.1
2015-02-01,Banesco,BM,Índice de Solvencia,0.12
2015-02-01,Banesco,BM,Capital Primario (Tier 1),0.0929
2015-02-01,Banesco,BM,Capital Secundario (Tier 2),0.025
2015-02-01,Banesco,BM,Activos Ponderados por Riesgo,36140.29
2015-02-01,Banesco,BM,Patrimonio Técnico,5394.07
2015-02-01,Citibank RD,BM,Índice de Solvencia,0.12
2015-02-01,Citibank RD,BM,Capital Primario (Tier 1),0.0919
2015-02-01,Citibank RD,BM,Capital Secundario (Tier 2),0.0246
2015-02-01,Citibank RD,BM,Activos Ponderados por Riesgo,24093.53
2015-02-01,Citibank RD,BM,Patrimonio Técnico,3596.05
2015-02-01,Banco Santa Cruz,BM,Índice de Solvencia,0.12
2015-02-01,Banco Santa Cruz,BM,Capital Primario (Tier 1),0.0947
2015-02-01,Banco Santa Cruz,BM,Capital Secundario (Tier 2),0.0263
2015-02-01,Banco Santa Cruz,BM,Activos Ponderados por Riesgo,18070.14
2015-02-01,Banco Santa Cruz,BM,Patrimonio Técnico,2697.04
2015-02-01,Banco López de Haro,BM,Índice de Solvencia,0.12
2015-02-01,Banco López de Haro,BM,Capital Primario (Tier 1),0.0949
2015-02-01,Banco López de Haro,BM,Capital Secundario (Tier 2),0.0187
2015-02-01,Banco López de Haro,BM,Activos Ponderados por Riesgo,18070.14
2015-02-01,Banco López de Haro,BM,Patrimonio Técnico,2697.04
2015-02-01,JMMB Bank,BM,Índice de Solvencia,0.12
2015-02-01,JMMB Bank,BM,Capital Primario (Tier 1),0.093
2015-02-01,JMMB Bank,BM,Capital Secundario (Tier 2),0.0206
2015-02-01,JMMB Bank,BM,Activos Ponderados por Riesgo,18070.14
2015-02-01,JMMB Bank,BM,Patrimonio Técnico,2697.04
2015-02-01,Banco Vimenca,BM,Índice de Solvencia,0.12
2015-02-01,Banco Vimenca,BM,Capital Primario (Tier 1),0.0952
2015-02-01,Banco Vimenca,BM,Capital Secundario (Tier 2),0.0264
2015-02-01,Banco Vimenca,BM,Activos Ponderados por Riesgo,12046.76
2015-02-01,Banco Vimenca,BM,Patrimonio Técnico,1798.02
2015-02-01,Banco del Progreso,BM,Índice de Solvencia,0.12
2015-02-01,Banco del Progreso,BM,Capital Primario (Tier 1),0.1016
2015-02-01,Banco del Progreso,BM,Capital Secundario (Tier 2),0.0225
2015-02-01,Banco del Progreso,BM,Activos Ponderados por Riesgo,12046.76
2015-02-01,Banco del Progreso,BM,Patrimonio Técnico,1798.02
2015-02-01,Caribe Express Banco,BM,Índice de Solvencia,0.12
2015-02-01,Caribe Express Banco,BM,Capital Primario (Tier 1),0.0985
2015-02-01,Caribe Express Banco,BM,Capital Secundario (Tier 2),0.0263
2015-02-01,Caribe Express Banco,BM,Activos Ponderados por Riesgo,12046.76
2015-02-01,Caribe Express Banco,BM,Patrimonio Técnico,1798.02
2015-02-01,Asociación Popular de Ahorros y Préstamos,CA,Índice de Solvencia,0.12
2015-02-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Primario (Tier 1),0.1038
2015-02-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Secundario (Tier 2),0.0257
2015-02-01,Asociación Popular de Ahorros y Préstamos,CA,Activos Ponderados por Riesgo,28912.23
2015-02-01,Asociación Popular de Ahorros y Préstamos,CA,Patrimonio Técnico,4315.26
2015-02-01,Asociación Cibao,CA,Índice de Solvencia,0.12
2015-02-01,Asociación Cibao,CA,Capital Primario (Tier 1),0.0908
2015-02-01,Asociación Cibao,CA,Capital Secundario (Tier 2),0.0282
2015-02-01,Asociación Cibao,CA,Activos Ponderados por Riesgo,18070.14
2015-02-01,Asociación Cibao,CA,Patrimonio Técnico,2697.04
2015-02-01,La Nacional,CA,Índice de Solvencia,0.12
2015-02-01,La Nacional,CA,Capital Primario (Tier 1),0.0963
2015-02-01,La Nacional,CA,Capital Secundario (Tier 2),0.0226
2015-02-01,La Nacional,CA,Activos Ponderados por Riesgo,10842.09
2015-02-01,La Nacional,CA,Patrimonio Técnico,1618.22
2015-02-01,Romana,CA,Índice de Solvencia,0.12
2015-02-01,Romana,CA,Capital Primario (Tier 1),0.0941
2015-02-01,Romana,CA,Capital Secundario (Tier 2),0.0233
2015-02-01,Romana,CA,Activos Ponderados por Riesgo,7228.06
2015-02-01,Romana,CA,Patrimonio Técnico,1078.81
2015-02-01,Mocana,CA,Índice de Solvencia,0.12
2015-02-01,Mocana,CA,Capital Primario (Tier 1),0.1009
2015-02-01,Mocana,CA,Capital Secundario (Tier 2),0.0246
2015-02-01,Mocana,CA,Activos Ponderados por Riesgo,7228.06
2015-02-01,Mocana,CA,Patrimonio Técnico,1078.81
2015-02-01,ADOPEM,BA,Índice de Solvencia,0.12
2015-02-01,ADOPEM,BA,Capital Primario (Tier 1),0.1008
2015-02-01,ADOPEM,BA,Capital Secundario (Tier 2),0.0265
2015-02-01,ADOPEM,BA,Activos Ponderados por Riesgo,10540.92
2015-02-01,ADOPEM,BA,Patrimonio Técnico,1573.27
2015-02-01,Bancamérica,BA,Índice de Solvencia,0.12
2015-02-01,Bancamérica,BA,Capital Primario (Tier 1),0.0922
2015-02-01,Bancamérica,BA,Capital Secundario (Tier 2),0.0237
2015-02-01,Bancamérica,BA,Activos Ponderados por Riesgo,9035.07
2015-02-01,Bancamérica,BA,Patrimonio Técnico,1348.52
2015-02-01,Banfond,BA,Índice de Solvencia,0.12
2015-02-01,Banfond,BA,Capital Primario (Tier 1),0.0975
2015-02-01,Banfond,BA,Capital Secundario (Tier 2),0.0206
2015-02-01,Banfond,BA,Activos Ponderados por Riesgo,6023.38
2015-02-01,Banfond,BA,Patrimonio Técnico,899.01
2015-02-01,Motor Crédito,BA,Índice de Solvencia,0.12
2015-02-01,Motor Crédito,BA,Capital Primario (Tier 1),0.0914
2015-02-01,Motor Crédito,BA,Capital Secundario (Tier 2),0.0253
2015-02-01,Motor Crédito,BA,Activos Ponderados por Riesgo,4517.54
2015-02-01,Motor Crédito,BA,Patrimonio Técnico,674.26
2015-03-01,Banco Popular Dominicano,BM,Índice de Solvencia,0.12
2015-03-01,Banco Popular Dominicano,BM,Capital Primario (Tier 1),0.1001
2015-03-01,Banco Popular Dominicano,BM,Capital Secundario (Tier 2),0.0226
2015-03-01,Banco Popular Dominicano,BM,Activos Ponderados por Riesgo,140910.69
2015-03-01,Banco Popular Dominicano,BM,Patrimonio Técnico,21031.45
2015-03-01,Banco de Reservas,BM,Índice de Solvencia,0.12
2015-03-01,Banco de Reservas,BM,Capital Primario (Tier 1),0.0958
2015-03-01,Banco de Reservas,BM,Capital Secundario (Tier 2),0.0256
2015-03-01,Banco de Reservas,BM,Activos Ponderados por Riesgo,128657.58
2015-03-01,Banco de Reservas,BM,Patrimonio Técnico,19202.62
2015-03-01,BHD León,BM,Índice de Solvencia,0.12
2015-03-01,BHD León,BM,Capital Primario (Tier 1),0.0943
2015-03-01,BHD León,BM,Capital Secundario (Tier 2),0.025
2015-03-01,BHD León,BM,Activos Ponderados por Riesgo,91898.27
2015-03-01,BHD León,BM,Patrimonio Técnico,13716.16
2015-03-01,Scotiabank RD,BM,Índice de Solvencia,0.12
2015-03-01,Scotiabank RD,BM,Capital Primario (Tier 1),0.0985
2015-03-01,Scotiabank RD,BM,Capital Secundario (Tier 2),0.0219
2015-03-01,Scotiabank RD,BM,Activos Ponderados por Riesgo,49012.41
2015-03-01,Scotiabank RD,BM,Patrimonio Técnico,7315.29
2015-03-01,Banesco,BM,Índice de Solvencia,0.12
2015-03-01,Banesco,BM,Capital Primario (Tier 1),0.0901
2015-03-01,Banesco,BM,Capital Secundario (Tier 2),0.0255
2015-03-01,Banesco,BM,Activos Ponderados por Riesgo,36759.31
2015-03-01,Banesco,BM,Patrimonio Técnico,5486.46
2015-03-01,Citibank RD,BM,Índice de Solvencia,0.12
2015-03-01,Citibank RD,BM,Capital Primario (Tier 1),0.1053
2015-03-01,Citibank RD,BM,Capital Secundario (Tier 2),0.0237
2015-03-01,Citibank RD,BM,Activos Ponderados por Riesgo,24506.21
2015-03-01,Citibank RD,BM,Patrimonio Técnico,3657.64
2015-03-01,Banco Santa Cruz,BM,Índice de Solvencia,0.12
2015-03-01,Banco Santa Cruz,BM,Capital Primario (Tier 1),0.1008
2015-03-01,Banco Santa Cruz,BM,Capital Secundario (Tier 2),0.027
2015-03-01,Banco Santa Cruz,BM,Activos Ponderados por Riesgo,18379.65
2015-03-01,Banco Santa Cruz,BM,Patrimonio Técnico,2743.23
2015-03-01,Banco López de Haro,BM,Índice de Solvencia,0.12
2015-03-01,Banco López de Haro,BM,Capital Primario (Tier 1),0.0942
2015-03-01,Banco López de Haro,BM,Capital Secundario (Tier 2),0.0264
2015-03-01,Banco López de Haro,BM,Activos Ponderados por Riesgo,18379.65
2015-03-01,Banco López de Haro,BM,Patrimonio Técnico,2743.23
2015-03-01,JMMB Bank,BM,Índice de Solvencia,0.12
2015-03-01,JMMB Bank,BM,Capital Primario (Tier 1),0.0961
2015-03-01,JMMB Bank,BM,Capital Secundario (Tier 2),0.0203
2015-03-01,JMMB Bank,BM,Activos Ponderados por Riesgo,18379.65
2015-03-01,JMMB Bank,BM,Patrimonio Técnico,2743.23
2015-03-01,Banco Vimenca,BM,Índice de Solvencia,0.12
2015-03-01,Banco Vimenca,BM,Capital Primario (Tier 1),0.0936
2015-03-01,Banco Vimenca,BM,Capital Secundario (Tier 2),0.0241
2015-03-01,Banco Vimenca,BM,Activos Ponderados por Riesgo,12253.1
2015-03-01,Banco Vimenca,BM,Patrimonio Técnico,1828.82
2015-03-01,Banco del Progreso,BM,Índice de Solvencia,0.12
2015-03-01,Banco del Progreso,BM,Capital Primario (Tier 1),0.0959
2015-03-01,Banco del Progreso,BM,Capital Secundario (Tier 2),0.0254
2015-03-01,Banco del Progreso,BM,Activos Ponderados por Riesgo,12253.1
2015-03-01,Banco del Progreso,BM,Patrimonio Técnico,1828.82
2015-03-01,Caribe Express Banco,BM,Índice de Solvencia,0.12
2015-03-01,Caribe Express Banco,BM,Capital Primario (Tier 1),0.0952
2015-03-01,Caribe Express Banco,BM,Capital Secundario (Tier 2),0.0233
2015-03-01,Caribe Express Banco,BM,Activos Ponderados por Riesgo,12253.1
2015-03-01,Caribe Express Banco,BM,Patrimonio Técnico,1828.82
2015-03-01,Asociación Popular de Ahorros y Préstamos,CA,Índice de Solvencia,0.12
2015-03-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Primario (Tier 1),0.0952
2015-03-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Secundario (Tier 2),0.0243
2015-03-01,Asociación Popular de Ahorros y Préstamos,CA,Activos Ponderados por Riesgo,29407.45
2015-03-01,Asociación Popular de Ahorros y Préstamos,CA,Patrimonio Técnico,4389.17
2015-03-01,Asociación Cibao,CA,Índice de Solvencia,0.12
2015-03-01,Asociación Cibao,CA,Capital Primario (Tier 1),0.0973
2015-03-01,Asociación Cibao,CA,Capital Secundario (Tier 2),0.0209
2015-03-01,Asociación Cibao,CA,Activos Ponderados por Riesgo,18379.65
2015-03-01,Asociación Cibao,CA,Patrimonio Técnico,2743.23
2015-03-01,La Nacional,CA,Índice de Solvencia,0.12
2015-03-01,La Nacional,CA,Capital Primario (Tier 1),0.0985
2015-03-01,La Nacional,CA,Capital Secundario (Tier 2),0.0246
2015-03-01,La Nacional,CA,Activos Ponderados por Riesgo,11027.79
2015-03-01,La Nacional,CA,Patrimonio Técnico,1645.94
2015-03-01,Romana,CA,Índice de Solvencia,0.12
2015-03-01,Romana,CA,Capital Primario (Tier 1),0.0976
2015-03-01,Romana,CA,Capital Secundario (Tier 2),0.0243
2015-03-01,Romana,CA,Activos Ponderados por Riesgo,7351.86
2015-03-01,Romana,CA,Patrimonio Técnico,1097.29
2015-03-01,Mocana,CA,Índice de Solvencia,0.12
2015-03-01,Mocana,CA,Capital Primario (Tier 1),0.0983
2015-03-01,Mocana,CA,Capital Secundario (Tier 2),0.0252
2015-03-01,Mocana,CA,Activos Ponderados por Riesgo,7351.86
2015-03-01,Mocana,CA,Patrimonio Técnico,1097.29
2015-03-01,ADOPEM,BA,Índice de Solvencia,0.12
2015-03-01,ADOPEM,BA,Capital Primario (Tier 1),0.0967
2015-03-01,ADOPEM,BA,Capital Secundario (Tier 2),0.0254
2015-03-01,ADOPEM,BA,Activos Ponderados por Riesgo,10721.47
2015-03-01,ADOPEM,BA,Patrimonio Técnico,1600.22
2015-03-01,Bancamérica,BA,Índice de Solvencia,0.12
2015-03-01,Bancamérica,BA,Capital Primario (Tier 1),0.0969
2015-03-01,Bancamérica,BA,Capital Secundario (Tier 2),0.0266
2015-03-01,Bancamérica,BA,Activos Ponderados por Riesgo,9189.83
2015-03-01,Bancamérica,BA,Patrimonio Técnico,1371.62
2015-03-01,Banfond,BA,Índice de Solvencia,0.12
2015-03-01,Banfond,BA,Capital Primario (Tier 1),0.0965
2015-03-01,Banfond,BA,Capital Secundario (Tier 2),0.0213
2015-03-01,Banfond,BA,Activos Ponderados por Riesgo,6126.55
2015-03-01,Banfond,BA,Patrimonio Técnico,914.41
2015-03-01,Motor Crédito,BA,Índice de Solvencia,0.12
2015-03-01,Motor Crédito,BA,Capital Primario (Tier 1),0.0965
2015-03-01,Motor Crédito,BA,Capital Secundario (Tier 2),0.0249
2015-03-01,Motor Crédito,BA,Activos Ponderados por Riesgo,4594.91
2015-03-01,Motor Crédito,BA,Patrimonio Técnico,685.81
2015-04-01,Banco Popular Dominicano,BM,Índice de Solvencia,0.12
2015-04-01,Banco Popular Dominicano,BM,Capital Primario (Tier 1),0.0964
2015-04-01,Banco Popular Dominicano,BM,Capital Secundario (Tier 2),0.0242
2015-04-01,Banco Popular Dominicano,BM,Activos Ponderados por Riesgo,143312.64
2015-04-01,Banco Popular Dominicano,BM,Patrimonio Técnico,21389.95
2015-04-01,Banco de Reservas,BM,Índice de Solvencia,0.12
2015-04-01,Banco de Reservas,BM,Capital Primario (Tier 1),0.0936
2015-04-01,Banco de Reservas,BM,Capital Secundario (Tier 2),0.0269
2015-04-01,Banco de Reservas,BM,Activos Ponderados por Riesgo,130850.67
2015-04-01,Banco de Reservas,BM,Patrimonio Técnico,19529.95
2015-04-01,BHD León,BM,Índice de Solvencia,0.12
2015-04-01,BHD León,BM,Capital Primario (Tier 1),0.0989
2015-04-01,BHD León,BM,Capital Secundario (Tier 2),0.025
2015-04-01,BHD León,BM,Activos Ponderados por Riesgo,93464.76
2015-04-01,BHD León,BM,Patrimonio Técnico,13949.96
2015-04-01,Scotiabank RD,BM,Índice de Solvencia,0.12
2015-04-01,Scotiabank RD,BM,Capital Primario (Tier 1),0.0999
2015-04-01,Scotiabank RD,BM,Capital Secundario (Tier 2),0.0237
2015-04-01,Scotiabank RD,BM,Activos Ponderados por Riesgo,49847.87
2015-04-01,Scotiabank RD,BM,Patrimonio Técnico,7439.98
2015-04-01,Banesco,BM,Índice de Solvencia,0.12
2015-04-01,Banesco,BM,Capital Primario (Tier 1),0.0974
2015-04-01,Banesco,BM,Capital Secundario (Tier 2),0.0239
2015-04-01,Banesco,BM,Activos Ponderados por Riesgo,37385.91
2015-04-01,Banesco,BM,Patrimonio Técnico,5579.99
2015-04-01,Citibank RD,BM,Índice de Solvencia,0.12
2015-04-01,Citibank RD,BM,Capital Primario (Tier 1),0.0927
2015-04-01,Citibank RD,BM,Capital Secundario (Tier 2),0.0227
2015-04-01,Citibank RD,BM,Activos Ponderados por Riesgo,24923.94
2015-04-01,Citibank RD,BM,Patrimonio Técnico,3719.99
2015-04-01,Banco Santa Cruz,BM,Índice de Solvencia,0.12
2015-04-01,Banco Santa Cruz,BM,Capital Primario (Tier 1),0.0945
2015-04-01,Banco Santa Cruz,BM,Capital Secundario (Tier 2),0.0251
2015-04-01,Banco Santa Cruz,BM,Activos Ponderados por Riesgo,18692.95
2015-04-01,Banco Santa Cruz,BM,Patrimonio Técnico,2789.99
2015-04-01,Banco López de Haro,BM,Índice de Solvencia,0.12
2015-04-01,Banco López de Haro,BM,Capital Primario (Tier 1),0.0955
2015-04-01,Banco López de Haro,BM,Capital Secundario (Tier 2),0.0241
2015-04-01,Banco López de Haro,BM,Activos Ponderados por Riesgo,18692.95
2015-04-01,Banco López de Haro,BM,Patrimonio Técnico,2789.99
2015-04-01,JMMB Bank,BM,Índice de Solvencia,0.12
2015-04-01,JMMB Bank,BM,Capital Primario (Tier 1),0.0949
2015-04-01,JMMB Bank,BM,Capital Secundario (Tier 2),0.0238
2015-04-01,JMMB Bank,BM,Activos Ponderados por Riesgo,18692.95
2015-04-01,JMMB Bank,BM,Patrimonio Técnico,2789.99
2015-04-01,Banco Vimenca,BM,Índice de Solvencia,0.12
2015-04-01,Banco Vimenca,BM,Capital Primario (Tier 1),0.0953
2015-04-01,Banco Vimenca,BM,Capital Secundario (Tier 2),0.0244
2015-04-01,Banco Vimenca,BM,Activos Ponderados por Riesgo,12461.97
2015-04-01,Banco Vimenca,BM,Patrimonio Técnico,1860.0
2015-04-01,Banco del Progreso,BM,Índice de Solvencia,0.12
2015-04-01,Banco del Progreso,BM,Capital Primario (Tier 1),0.0967
2015-04-01,Banco del Progreso,BM,Capital Secundario (Tier 2),0.0238
2015-04-01,Banco del Progreso,BM,Activos Ponderados por Riesgo,12461.97
2015-04-01,Banco del Progreso,BM,Patrimonio Técnico,1860.0
2015-04-01,Caribe Express Banco,BM,Índice de Solvencia,0.12
2015-04-01,Caribe Express Banco,BM,Capital Primario (Tier 1),0.0994
2015-04-01,Caribe Express Banco,BM,Capital Secundario (Tier 2),0.0223
2015-04-01,Caribe Express Banco,BM,Activos Ponderados por Riesgo,12461.97
2015-04-01,Caribe Express Banco,BM,Patrimonio Técnico,1860.0
2015-04-01,Asociación Popular de Ahorros y Préstamos,CA,Índice de Solvencia,0.12
2015-04-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Primario (Tier 1),0.0927
2015-04-01,Asociación Popular de Ahorros y Préstamos,CA,Capital Secundario (Tier 2),0.0271
2015-04-01,Asociación Popular de Ahorros y Préstamos,CA,Activos Ponderados por Riesgo,29908.72
2015-04-01,Asociación Popular de Ahorros y Préstamos,CA,Patrimonio Técnico,4463.99
2015-04-01,Asociación Cibao,CA,Índice de Solvencia,0.12
2015-04-01,Asociación Cibao,CA,Capital Primario (Tier 1),0.094
2015-04-01,Asociación Cibao,CA,Capital Secundario (Tier 2),0.0243
2015-04-01,Asociación Cibao,CA,Activos Ponderados por Riesgo,18692.95
2015-04-01,Asociación Cibao,CA,Patrimonio Técnico,2789.99
2015-04-01,La Nacional,CA,Índice de Solvencia,0.12
2015-04-01,La Nacional,CA,Capital Primario (Tier 1),0.093
2015-04-01,La Nacional,CA,Capital Secundario (Tier 2),0.0253
2015-04-01,La Nacional,CA,Activos Ponderados por Riesgo,11215.77
